,MW,LogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAtoms,NumHeavyAtoms,NumBonds,NumRings
COC(=O)c1ccc(Oc2cnn(c3cc(Cl)cc(Cl)c3)c2c2ccc3cc(OC)ccc3c2)cc1,518.0800124799999,7.586800000000005,62.58,6,0,6,36,36,40,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7340>"
Cn1nc(COc2cnccn2)c2c1CCN(C(=O)CCCc1ccccc1)C2,391.20082504000004,2.6967000000000008,73.14,6,0,7,29,29,32,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7BC0>"
Brc1cccc(c2cc3c4c(cccc4c2)CC3)c1,308.02006251600005,5.367900000000003,0.0,0,0,1,19,19,22,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E74C0>"
CNc1cc(COC)nc(Cc2nc3ccccc3[nH]2)n1,283.143310164,2.1317999999999997,75.72,5,2,5,21,21,23,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E79C0>"
COCC(C)C[NH2+]Cc1cccs1,200.11036161609,1.0940000000000003,25.84,2,1,6,13,13,13,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7840>"
COc1ccccc1N1CC[NH+](CC2C(=O)OC3CC4(C)CCCC(C)=C4CC32)CC1,425.27986946409,2.8584000000000005,43.21000000000001,4,1,4,31,31,35,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7F40>"
OCCn1cc(CNc2cccc3c2CCCC3)nn1,272.16371126,1.7612999999999999,62.97,5,2,5,20,20,22,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7CC0>"
C[NH2+]C(C)CNC(=O)c1cc(OC)c(OC(F)F)cc1[N+](=O)[O-],334.12090353608994,0.5163000000000004,107.31,5,2,8,23,23,23,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7AC0>"
C=CCNC(=S)Nc1nn(Cc2c(F)cccc2Cl)cc1Cl,358.022200996,3.849700000000002,41.88,3,2,5,22,22,23,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7440>"
CCC1CC(C[NH+]2CCN(S(=O)(=O)N3CCOCC3)CC2)CCO1,362.21080392408993,-1.0308999999999946,63.52000000000001,4,1,5,24,24,26,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E76C0>"
CN(c1ccccc1)c1ccccc1C(=O)NCC1(O)CCOCC1,340.17869262799996,2.7258000000000004,61.80000000000001,4,2,5,25,25,27,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7DC0>"
CCC[NH2+]C(CCc1ccccn1)c1ccc(Cl)s1,295.10302374008995,3.443800000000002,29.5,2,1,7,19,19,20,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7A40>"
Nc1nc2ccc(F)c(F)c2n1Cc1ccccc1Br,337.00261586,3.7075000000000014,43.839999999999996,3,1,2,20,20,22,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7740>"
Cc1cc(NC(=O)Nc2cc(Cl)ccc2N2CCCCC2)nn1C,347.15128800400004,4.016220000000002,62.190000000000005,4,2,3,24,24,26,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7C40>"
Cc1cc(C)cc(C(=O)CC[NH+](C)C(C)CO)c1,250.18015542809,0.7717400000000001,41.74,2,2,6,18,18,18,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7EC0>"
N#Cc1ccccc1NC(=O)CCSc1nnc(C[NH+]2CCCC2)n1Cc1ccccc1,447.19615690409006,2.49768,88.03999999999999,6,2,9,32,32,35,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E77C0>"
CC(C)OCCCNC(=O)C(NC(=O)c1c(F)cccc1F)C(C)C,356.191149132,2.650500000000001,67.43,3,2,9,25,25,25,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E78C0>"
COc1csc2cc(O)c([S-])cc12,210.98929504391,2.5213,29.46,4,1,1,13,13,14,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7E40>"
c1ccc(OCC[NH2+]Cc2ccoc2)cc1,218.11755517209,1.4219999999999995,38.980000000000004,2,1,6,16,16,17,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE040>"
CNC(=O)CS(=O)(=O)C1CCN(C(=O)c2ccc([N-]S(=O)(=O)c3cccc(C)c3)cc2)CC1,492.12685113191,2.1545200000000007,131.79,6,1,7,33,33,35,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE0C0>"
CC1CCN(C(=O)c2cc(Cl)ncc2N)C(C)C1,267.113839876,2.5778000000000008,59.22,3,1,1,18,18,19,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE140>"
O=C(NCc1ccc(F)cc1)N1CC=C(c2c[nH]c3ccccc23)CC1,349.15904048,4.305900000000004,48.13,1,2,3,26,26,29,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE1C0>"
CCCS(=O)(=O)N1CCCC(C(=O)Nc2ccc(=O)n(Cc3ccccc3Cl)c2)C1,451.133254992,2.9403000000000006,88.48000000000002,5,1,7,30,30,32,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE240>"
C=C(C)CN(CC)c1ccc(C(C)[NH3+])cc1Cl,253.14660280408998,3.0453,30.880000000000003,1,1,5,17,17,17,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE2C0>"
CC1CCC(O)(CCc2ccsc2)C1,210.107836196,3.2318000000000024,20.23,2,1,3,14,14,15,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE340>"
CCN(CC)S(=O)(=O)c1cc(C(=O)NC2C3CC4CC(C3)CC2C4)ccc1Cl,424.158741468,3.9250000000000034,66.48,3,1,6,28,28,31,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE3C0>"
CCCCCCc1ccc(C#Cc2ccc(C#CC3=CC=C(CCC)CC3)c(C3CCCCC3)c2)c(F)c1,506.334879596,10.194199999999993,0.0,0,0,8,38,38,41,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE440>"
COc1ccc(CC(=O)Nc2c(C#N)c(C)c(C)n2Cc2ccccc2)cc1,373.179026976,4.214720000000003,67.05,4,1,6,28,28,30,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE4C0>"
CCCCCc1ccc(C(=O)Nc2ccccc2N)cc1,282.17321332399996,4.253800000000002,55.120000000000005,2,2,6,21,21,22,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE540>"
COc1ccc(C)cc1Nc1ncnc(N2CCN(c3ccccn3)CC2)c1[N+](=O)[O-],421.186237596,3.1670200000000017,109.55000000000001,9,1,6,31,31,34,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x000002087BADE5C0>"
